Provider Name,Zip Code,Service Area,Service Area (SA),Provider Classification,Programs/Services,Age Group Served,Language/Cultures,Operation,Phone Number,Location 1
ENKI YOUTH & FAMILY SERVICES-LA PUENTE,91744,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, DUAL DIAGNOSIS, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"CANTONESE, ENGLISH, FARSI, HEBREW, ITALIAN, KOREAN, MANDARIN, RUSSIAN, SINGHALESE, SPANISH, TAGALOG",NGA,(626) 974-0776,"160 SOUTH SEVENTH AVE.
LA PUENTE, California 91744
(34.03381753900004, -117.97573152199999)"
MARYVALE,91770,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ENGLISH, ITALIAN, SPANISH",NGA,(626) 280-6510,"7600 EAST GRAVES AVE.
ROSEMEAD, California 91770
(34.05534283900005, -118.10200941899996)"
JUVENILE COURT MENTAL HEALTH SERVICES,91754,3,SA 3 San Gabriel Valley,JUVENILE JUSTICE,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ENGLISH, ILOCANO, KOREAN, SPANISH, TAGALOG, VIETNAMESE",DMH,(323) 526-6362,"201 CENTRE PLAZA DR.
MONTEREY PARK, California 91754
(34.05878585700003, -118.16631135299997)"
CENTER FOR INTEGRATED FAMILY AND HEALTH SERVICES,91723,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"CANTONESE, ENGLISH, MANDARIN, SPANISH",NGA,(626) 966-1577,"560 SOUTH SAN JOSE
COVINA, California 91723
(34.07951079700007, -117.88347571599996)"
PACIFIC CLINICS-E FOOTHILL GUIDANCE,91016,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT/CHILD/TAY,"ARABIC, ARMENIAN, CANTONESE, ENGLISH, FRENCH, GERMAN, HEBREW, ITALIAN, JAPANESE, KOREAN, MANDARIN, PORTUGUESE, SPANISH, TAGALOG, THAI, URDU, VIETNAMESE",NGA,(626) 357-3258,"902 SOUTH MYRTLE AVE.
MONROVIA, California 91016
(34.14216151200003, -118.00085635999994)"
KOREAN YOUTH & COMMUNITY CENTER INC.,90005,4,SA 4 Metro,OUTPATIENT,SPECIALIZED FOSTER CARE,CHILD/TAY,"CANTONESE, ENGLISH, FRENCH, KOREAN, SPANISH",NGA,(213) 365-7400,"680 SOUTH WILTON PLC.
LOS ANGELES, California 90005
(34.060152463000065, -118.31431619099999)"
TRI-CITIES MHC,91767,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, FAMILY COUNSELING, GROUP COUNSELING, MEDICATION SUPPORT, SPECIALIZED FOSTER CARE, WRAPAROUND SERVICES",ADULT/CHILD/TAY,"AMERICAN SIGN, FRENCH, HINDI, JAPANESE, PUNJABI, SPANISH, TAGALOG, TAIWANESE, THAI",NGA,(909) 623-6131,"2008 NORTH GAREY AVE.
POMONA, California 91767
(34.08272681600005, -117.75285650599994)"
INTER-COMMUNITY MEDICAL CENTER,91723,3,SA 3 San Gabriel Valley,INPATIENT,24 HR ACUTE,ADULT,"CEBUANO, ENGLISH, ILONGOT, SPANISH, TAGALOG, VISAYAN",FFS,(626) 915-6259,"210 WEST SAN BERNADINO RD.
COVINA, California 91723
(34.09004077000003, -117.89211648299994)"
HERITAGE CLINIC PASADENA,91101,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION MANAGEMENT, MENTAL HEALTH SERVICES",OLDER ADULT,"CANTONESE, ENGLISH, MANDARIN, SPANISH",NGA,(626) 577-8480,"447 N. EL MOLINO AVE.
PASADENA, California 91101
(34.15384166700005, -118.13699294599996)"
SAN FERNANDO VALLEY CMHC-FAMILY LINKS,91340,2,SA 2 San Fernando Valley,OUTPATIENT,"CASE MANAGEMENT, FIRST 5 LA, MULTIDISCIPLINARY ASSESSMENT TEAM, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PEI, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"ENGLISH, FARSI, ITALIAN, NORWEGIAN, RUSSIAN, SPANISH, VIETNAMESE",NGA,(818) 361-5030,"11565 LAUREL CANYON BLVD. STE. 116
MISSION HILLS, California 91340
(34.279989397000065, -118.45471942599994)"
IMCES,91203,2,SA 2 San Fernando Valley,OUTPATIENT,"COMMUNITY OUTREACH, FSP, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT/CHILD/TAY,"ARABIC, ARMENIAN, BURMAN, DUTCH, ENGLISH, FARSI, FRENCH, HEBREW, HINDI, ITALIAN, JAPANESE, KOREAN, POLISH,  RUSSIAN, SERBO - CROATIAN, SPANISH, URDU",NGA,(818) 240-4311,"431 NORTH BRAND BLVD. STE. 202
GLENDALE, California 91203
(34.152392907000035, -118.25514767699997)"
CHILD & FAMILY CENTER-SANTA CLARITA,91350,2,SA 2 San Fernando Valley,OUTPATIENT,"CRISIS INTERVENTION, FCCS, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PEI, SPECIALIZED FOSTER CARE, SUBSTANCE ABUSE TREATMENT, WRAPAROUND",CHILD/TAY,"CANTONESE, CZECH, ENGLISH, GERMAN, HEBREW, ITALIAN, MANDARIN, SPANISH",NGA,(661) 259-9439,"21545 CENTRE POINT PKWY.
SANTA CLARITA, California 91350
(34.447770373000026, -118.51963737199998)"
TARZANA TREATMENT CENTER INC.,91356,2,SA 2 San Fernando Valley,OUTPATIENT,"PEI,  EARLY AND PERIODIC SCREENING DIAGNOSIS AND TESTING, FSP, MULTIDISCIPLINARY ASSESSMENT TEAM, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT/CHILD/TAY,"ENGLISH, GERMAN, SPANISH, VIETNAMESE",NGA,(818) 996-1051,"18646 OXNARD ST.
TARZANA, California 91356
(34.17993453400004, -118.53966827299996)"
HATHAWAY SYCAMORES FAIR OAKS PACE,91030,2,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, FCCS, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, RESIDENTIAL, SPECIALIZED FOSTER CARE, THERAPEUTIC BEHAVIORAL SERVICES",ADULT/CHILD/TAY,"ENGLISH, SPANISH",NGA,(626) 395-7100,"625 FAIR OAKS AVE. STE. 300
SOUTH PASADENA, California 91030
(34.11802120800007, -118.15035224999997)"
D' VEAL FAMILY & YOUTH SERVICES,91103,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, DAY TREATMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"ARMENIAN, CANTONESE, ENGLISH, FRENCH, GERMAN, MANDARIN, ROMANIAN, RUSSIAN, SPANISH, SWAHILI, TAGALOG, THAI",NGA,(626) 796-3453,"855 NORTH ORANGE GROVE BLVD. STE. 20
PASADENA, California 91103
(34.156885369000065, -118.15282389499998)"
PACIFIC CLINICS-ACT-EL MONTE,91731,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT,"CANTONESE, ENGLISH, HUNGARIAN, KOREAN, MANDARIN, OTHER CHINESE, RUSSIAN, SAMOAN, SPANISH, TAGALOG, TAIWANESE, VIETNAMESE",NGA,(626) 433-1311,"9864 BALDWIN PLC.
EL MONTE, California 91731
(34.07061402900007, -118.054341825)"
SPECIALIZED FOSTER CARE-PASADENA,91101,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"CANTONESE, ENGLISH, HINDI, MANDARIN, MARATHI, MIEN, RUSSIAN, SPANISH, TAGALOG, URDU",DMH,(626) 229-3825,"532 EAST COLORADO BLVD. 4TH FL.
PASADENA, California 91101
(34.145823463000056, -118.13925923299996)"
PACIFIC CLINICS-ACT-WEST COVINA,91790,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, DAY TREATMENT, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT,"CANTONESE, ENGLISH, HUNGARIAN, KOREAN, MANDARIN, OTHER CHINESE, RUSSIAN, SAMOAN, SPANISH, TAGALOG, TAIWANESE",NGA,(626) 962-6061,"1517 WEST GARVEY AVE. NORTH
WEST COVINA, California 91790
(34.072758426000064, -117.93867923299996)"
BIENVENIDOS CHILDREN'S CENTER,91766,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ARMENIAN, CALO, ENGLISH, JAPANESE, KOREAN, MANDARIN, SPANISH, VIETNAMESE",NGA,(626) 798-7222,"780 WEST MISSION BLVD.
POMONA, California 91766
(34.05490266700008, -117.75745871999999)"
FOOTHILL FAMILY SERVICES-HUDSON,91101,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, FCCS, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"AMERICAN SIGN LANGUAGE, ARABIC,  ARMERNIAN, CANTONESE, ENGLISH, FARSI, JAPANESE, KOREAN, MANDARIN, SPANISH, TAGALOG, VIETNAMESE",NGA,(626) 795-6907,"111 SOUTH HUDSON AVE.
PASADENA, California 91101
(34.143760557000064, -118.13387042899996)"
LEROY HAYNES CENTER,91750,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",CHILD/TAY,"ENGLISH, FRENCH, SPANISH",NGA,(909) 593-2581,"233 WEST BASELINE RD.
LA VERNE, California 91750
(34.12070278700003, -117.75460342199995)"
FOOTHILL FAMILY SERVICES-PASADENA,91101,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, FSP, CHILDREN MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"AMERICAN SIGN LANGUAGE, ARABIC,  ARMERNIAN, CANTONESE, ENGLISH, FARSI, JAPANESE, KOREAN, MANDARIN, SPANISH, TAGALOG, VIETNAMESE",NGA,(626) 795-6907,"118 SOUTH OAK KNOLL AVE.
PASADENA, California 91101
(34.14389108700004, -118.13516632799997)"
BHC ALHAMBRA HOSPITAL,91770,3,SA 3 San Gabriel Valley,INPATIENT,24 HR ACUTE,ADULT/CHILD/TAY,ENGLISH,FFS,(626) 286-1191,"4619 NORTH ROSEMEAD BLVD.
ROSEMEAD, California 91770
(34.08855966600004, -118.073482378)"
ARCADIA MENTAL HEALTH SERVICES,91006,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, DUAL DIAGNOSIS, FSP, LIFE SUPPORT, MENTAL HEALTH SERVICES, WELLNESS CENTER",ADULT,"BENGALI, CANTONESE, ENGLISH, FARSI, FRENCH, HINDI, JAPANESE, KOREAN, MANDARIN, PORTUGUESE, SPANISH, TAIWANESE",DMH,(626) 821-5858,"330 EAST LIVE OAK AVE.
ARCADIA, California 91006
(34.10850336000004, -118.02197538099995)"
FOOTHILL FAMILY SERVICES,91731,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE  MANAGEMENT, CRISIS INTERVENTION, FCCS, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT/CHILD/TAY,"AMERICAN SIGN LANGUAGE, ARABIC,  ARMERNIAN, CANTONESE, ENGLISH, FARSI, JAPANESE, KOREAN, MANDARIN, SPANISH, TAGALOG, VIETNAMESE",NGA,(626) 993-3000,"11204 ASHER ST.
EL MONTE, California 91731
(34.06754319800007, -118.03148861999995)"
PROTOTYPES I-CAN,91107,3,SA 3 San Gabriel Valley,OUTPATIENT,"CALWORKS, CASE MANAGEMENT, CRISIS INTERVENTION, FCCS, FSP, MULTI ASSESSMENT TEAMS, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PREVENTION, SPECIALIZED FOSTER CARE",CHILD/TAY,"BURMESE, ENGLISH, GERMAN, MANDARIN, SPANISH, THAI, VIETNAMESE",NGA,(626) 577-2261,"2555 EAST COLORADO BLVD. STE. 100
PASADENA, California 91107
(34.14612766600004, -118.09846960899995)"
PACIFIC CLINICS INTENSIVE COMMUNITY SERVICES,91724,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, THERAPEUTIC BEHAVIORAL SERVICES",CHILD/TAY,"AFRIKAANS, ENGLISH, FRENCH, SPANISH, TAGALOG, VIETNAMESE",NGA,(626) 967-1667,"1126 NORTH GRAND AVE.
COVINA, California 91724
(34.09988392100007, -117.87247596599997)"
ALMANSOR EDUCATION CENTER,91030,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, DAY TREATMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"AMERICAN SIGN, ARABIC, ARMENIAN, CANTONESE, ENGLISH, HUNGARIAN, ITALIAN, JAPANESE, KOREAN, OTHER CHINESE, SPANISH, SWEDISH, TAGALOG, VIETNAMESE",NGA,(323) 344-5538,"1955 FREMONT AVE.
SOUTH PASADENA, California 91030
(34.102048539000066, -118.15216557899998)"
SSG-CHLA,90027,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",CHILD/TAY,"ENGLISH, PORTUGUESE, SPANISH",NGA,(323) 361-7703,"5000 SUNSET BLVD. 4TH FL.
LOS ANGELES, California 90027
(34.098113316000024, -118.29845708799996)"
PACIFIC CLINICS-BONITA FAMILY SERVICE CENTER,91767,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT/CHILD/TAY,"ENGLISH, HINDI, ITALIAN, MANDARIN, SPANISH",NGA,(909) 625-7207,"790 EAST BONITA AVE.
POMONA, California 91767
(34.09621312200005, -117.73747930499997)"
ETTIE LEE HOMES-POMONA,91767,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, GROUP HOME, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, THERAPEUTIC BEHAVIORAL SERVICES",CHILD/TAY,"BURMESE, ENGLISH, MANDARIN, SPANISH, TOISAN",NGA,(909) 620-2521,"160 EAST HOLT AVE. STE. B
POMONA, California 91767
(34.06239755800004, -117.74884488699996)"
COMMUNITY CARE CENTER,91010,3,SA 3 San Gabriel Valley,INSTITUTIONS FOR MENTAL DISEASE,MENTAL HEALTH SERVICES,ADULT,ENGLISH,NGA,(626) 357-3207,"2335 SOUTH MOUNTAIN AVE.
DUARTE, California 91010
(34.12294260300007, -117.99025997599995)"
FOOTHILL FAMILY SERVICE DUARTE,91010,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE  MANAGEMENT, CRISIS INTERVENTION, FCCS, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT/CHILD/TAY,"AMERICAN SIGN LANGUAGE, ARABIC,  ARMERNIAN, CANTONESE, ENGLISH, FARSI, JAPANESE, KOREAN, MANDARIN, SPANISH, TAGALOG, VIETNAMESE",NGA,(626) 993-3000,"1801 HUNTINGTON DR.
DUARTE, California 91010
(34.13976959800004, -117.96652095299999)"
PROTOTYPES I-CAN,91767,3,SA 3 San Gabriel Valley,OUTPATIENT,"CALWORKS, CASE MANAGEMENT, CRISIS INTERVENTION, FCCS, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PREVENTION",ADULT/CHILD/TAY,"AFRIKAANS, BURMESE, ENGLISH, FRENCH, MANDARIN, RUSSIAN, SPANISH, TAGALOG, THAI",NGA,(909) 629-2400,"1890 NORTH GAREY AVE.
POMONA, California 91767
(34.080433775000074, -117.75262604999995)"
DMHC MENTAL HEALTH CENTER FCCS PROGRAM,90013,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH SERVICES, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT,"ENGLISH, SPANISH",DMH,(213) 486-4922,"522 SOUTH SAN PEDRO ST.
LOS ANGELES, California 90013
(34.04365211000004, -118.24422705599994)"
SHARE DOWNTOWN,90013,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT,"ENGLISH, FRENCH, JAPANESE, SPANISH",NGA,(213) 213-0100,"425 SOUTH BROADWAY
LOS ANGELES, California 90013
(34.04886125300004, -118.25001195199997)"
BHS HOLLYWOOD RECOVERY CENTER,90028,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT/CHILD/TAY,"ARABIC, ENGLISH, FARSI, FRENCH, KOREAN, MANDARIN, SPANISH",NGA,(323) 461-3161,"6838 SUNSET BLVD.
LOS ANGELES, California 90028
(34.097942697000065, -118.33997981199997)"
GATEWAYS OUTPATIENT PERCY VILLAGE,90034,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT,"ENGLISH, GERMAN, HEBREW, KOREAN, POLISH, PUNJABI, SPANISH, VIETNAMESE",NGA,(323) 268-2100,"3455 PERCY ST.
LOS ANGELES, California 90034
(34.02812948900004, -118.19865430199997)"
DOWNTOWN MENTAL HEALTH CENTER FSP PROGRAM,90013,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH SERVICES, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT,"ENGLISH, SPANISH",DMH,(213) 633-2903,"426. S SAN PEDRO ST.
LOS ANGELES, California 90013
(34.045095478000064, -118.24335560599997)"
FOOTHILL FAMILY SERVICES-WEST COVINA,91790,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, FCCS, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"AMERICAN SIGN, ARABIC, ARMENIAN, CAMBODIAN, CANTONESE, CZECH, DUTCH, ENGLISH, FRENCH, GERMAN, HINDI, ITALIAN, JAPANESE, KOREAN, MANDARIN, PORTUGUESE, OTHER CHINESE, RUSSIAN, SAMOAN",NGA,(626) 338-9200,"1215 WEST COVINA PKWY. STE. 200
WEST COVINA, California 91790
(34.06876807400005, -117.93511983499997)"
HOPE,91107,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT/CHILD/TAY,"CANTONESE, ENGLISH, KOREAN, MANDARIN, SPANISH",DMH,(213) 738-4431,"2982 EAST COLORADO BLVD.
PASADENA, California 91107
(34.14616812000003, -118.08878814799999)"
TRINITY,91732,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, THERAPEUTIC BEHAVIORAL SERVICES",CHILD/TAY,"ENGLISH, FRENCH, ITALIAN, SPANISH",NGA,(626) 444-0539,"11057 BAYSE ST.
EL MONTE, California 91732
(34.08261062200006, -118.03022231099999)"
OLIVE VISTA,91766,3,SA 3 San Gabriel Valley,INSTITUTIONS FOR MENTAL DISEASE,MENTAL HEALTH SERVICES,ADULT,ENGLISH,NGA,(909) 628-6026,"2350 CULVER COURT
POMONA, California 91766
(34.028856380000036, -117.74138958099996)"
LANDMARK MEDICAL CENTER,91767,3,SA 3 San Gabriel Valley,INSTITUTIONS FOR MENTAL DISEASE,MENTAL HEALTH SERVICES,ADULT,ENGLISH,NGA,(909) 593-2585,"2030 NORTH GAREY AVE.
POMONA, California 91767
(34.083616377000055, -117.75260069999996)"
LAMP COMMUNITY FRANK RICE ACCESS CENTER,90013,4,SA 4 Metro,COMMUNITY OUTREACH,COMMUNITY OUTREACH,ADULT,"ENGLISH, FRENCH",NGA,(213) 488-0031,"627 SAN JULIAN ST.
LOS ANGELES, California 90013
(34.042403673000024, -118.24659371099995)"
FIVE ACRES,91103,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, THERAPEUTIC BEHAVIORAL SERVICES",CHILD/TAY,"AMERICAN SIGN, ARABIC, ARMENIAN, CANTONESE, ENGLISH, FRENCH, GERMAN, IBO, MANDARIN, SPANISH, TAGALOG, TOISAN",NGA,(626) 844-1430,"2055 NORTH LINCOLN AVE.
PASADENA, California 91103
(34.18103647100003, -118.15970421799994)"
HILLSIDES FAMILY CENTER,91105,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE",CHILD/TAY,"ARMENIAN, ENGLISH, JAPANESE, KOREAN, SPANISH",NGA,(323) 254-2274,"940 AVE. STE. 64
PASADENA, California 91105
(34.13698081900003, -118.159175716)"
MCKINLEY CHILDREN'S  CENTER,91773,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, DAY REHABILITATION, DAY TREATMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ARABIC, CANTONESE, ENGLISH, ITALIAN, MANDARIN, SPANISH, SWEDISH, TAIWANESE, YORUBA",NGA,(909) 599-1227,"762 WEST CYPRESS ST.
SAN DIMAS, California 91773
(34.09575336200004, -117.82028918999998)"
ALMANSOR CLINICAL SERVICES,91105,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE, WELLNESS CENTER",CHILD/TAY,"AMERICAN SIGN, ARABIC, ARMENIAN, CANTONESE, ENGLISH, HUNGARIAN, ITALIAN, JAPANESE, KOREAN, MANDARIN, OTHER CHINESE, SPANISH, SWEDISH, TAGALOG, VIETNAMESE",NGA,(323) 344-5536,"205 SOUTH PASADENA AVE.
PASADENA, California 91105
(34.142245039000045, -118.15414212499996)"
PACIFIC CLINICS,91103,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT/CHILD/TAY,"ARMENIAN, CAMBODIAN, ENGLISH, FRENCH, GERMAN, MANDARIN, SPANISH, TAGALOG, VIETNAMESE, VISAYAN",NGA,(626) 254-5999,"1855 NORTH FAIR OAKS AVE.
PASADENA, California 91103
(34.17752916100005, -118.15079617699996)"
ALMA FAMILY SERVICES,91789,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE, SPECIALIZED IN DEVELOPMENTAL DISABILITIES (DD)",CHILD/TAY,"CANTONESE, ENGLISH, ITALIAN, JAPANESE, KOREAN, PORTUGESE, SPANISH, VIETNAMESE",NGA,(323) 881-3799,"18780 AMAR RD. STE. 204
WALNUT, California 91789
(34.027983059000064, -117.89288409699998)"
HILLSIDES HOME FOR CHILDREN,91105,3,SA 3 San Gabriel Valley,RESIDENTIAL,"CASE MANAGEMENT, MENTAL HEALTH SERVICES",CHILD/TAY,"ARMENIAN, CANTONESE, ENGLISH, JAPANESE, MANDARIN, SPANISH",NGA,(323) 254-2274,"940 AVE. 64
PASADENA, California 91105
(34.134290872000065, -118.17625724999999)"
BIENVENIDOS VILLAGE,91001,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, DAY TREATMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ARMENIAN, CALO, CEBUANO, ENGLISH, FRENCH, GERMAN, JAPANESE, KOREAN, MANDARIN, SPANISH, TAGALOG",NGA,(626) 798-7222,"205 EAST PALM ST.
ALTADENA, California 91001
(34.19538771300006, -118.14237154599999)"
ROSEMARY CHILDREN'S  SERVICES,91107,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, DAY REHABILITATION, DAY TREATMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"CANTONESE, ENGLISH, MANDARIN, SPANISH",NGA,(626) 844-3033,"36 SOUTH KINNELOA AVE.
PASADENA, California 91107
(34.145609139000044, -118.08692604999999)"
PIEDMONT UNIFIED SCHOOL DISTRICT-MHS,91101,3,SA 3 San Gabriel Valley,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ARMENIAN, ENGLISH, ITALIAN, MANDARIN, SPANISH, TAGALOG, VIETNAMESE",NGA,(626) 795-2514,"325 SOUTH OAK KNOLL AVE.
PASADENA, California 91101
(34.140188659000046, -118.13521036099996)"
FILIPINO AMERICAN SERVICES GROUP,90026,4,SA 4 Metro,OUTPATIENT,"CRISIS INTERVENTION, MENTAL HEALTH SERVICES, MEDICATION SUPPORT",ADULT,"ARMENIAN, CZECH, ENGLISH, GERMAN, HEBREW, IGOROT, POLISH, RUSSIAN, SPANISH, TAGALOG",NGA,(213) 487-9804,"135 NORTH PARK VIEW ST.
LOS ANGELES, California 90026
(34.069207093000045, -118.27337677099996)"
